44 21 23.2 29.4 23.2
19 22 36 25.7 22
71 46 91 69.3 71
5 33 78 38.7 33
2 83 16 33.7 16
56 32 4.3 30.8 32
13 18 22 17.7 18
5 33 78 38.7 33
26 87 15 42.7 26
98 12 74 61.3 74
1 90 43 44.7 43
9 33 37 26.3 33
20 67 83 56.7 67
45 21 84 50 45
20 14 76 36.7 20
40 38 20 32.7 38
4 87 62 51 62
89 77 73 79.7 77
22 59 38 39.7 38
15 44 73 44 44
24 73 91 62.7 73
88 41 78 69 78
23 45 23 30.3 23
54 76 23 51 54
46 87 23 52 46
31 96 45 57.3 45
12 96 18 42 18
91 75 32 66 75
45 68 17 43.3 45
64 89 21 58 64
32 65 47 48 47
78 59 14 50.3 59
35 12 47 31.3 35
65 47 98 70 65
